,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
762488,0.6,0.9644366597493446,0.9952074388694081,,2.545751991955838e-109,8.273631465818134e-102,0.31778103283453074,0.19127733096650482,,1.2635248696019947e-160,3.3799574079262145e-116,HV,-1
762491,0.6,0.9952074388694081,0.13147918885221888,8.915260028473417e-101,9.69148200161917e-99,4.027109006544094e-107,0.19127733096650482,0.31778103283453074,4.878293410200004e-106,3.3799574079262145e-116,2.4920493162988327e-151,HV,-1
762494,0.36,0.13147918885221888,0.3706474470171066,1.051485277589484e-112,1.4505104598542114e-111,8.915260028473417e-101,0.31778103283453074,0.02213087446680441,1.1044797811206247e-162,2.7637365383711114e-122,8.021360000743496e-125,HV,-1
762496,0.44,0.3706474470171066,0.010101005217988925,1.947310292354279e-110,1.3666555610256655e-118,2.7637365383711114e-122,0.02213087446680441,0.0878469342643513,4.2919776291220896e-130,1.5157604415198054e-123,4.2919776291220896e-130,HV,-1
762498,0.6,0.010101005217988925,3.1254746451778834e-56,1.4505104598542114e-111,6.657385806928597e-104,1.947310292354279e-110,0.0878469342643513,7.325294280377921e-73,9.476686605101574e-129,3.2428031326104125e-108,4.867742419195571e-121,HV,-1
762500,5.74,3.1254746451778834e-56,1.550147223214658e-64,1.273001434273289e-39,1.273001434273289e-39,1.6188636261592282e-35,7.325294280377921e-73,5.929425406405357e-91,1.5625396373828271e-34,7.51492545397327e-30,4.354565666586339e-28,HV,-1
762502,0.48,1.550147223214658e-64,0.0001615202610968331,1.947310292354279e-110,8.290373807692456e-120,2.1826293224615777e-117,5.929425406405357e-91,1.065359541719866e-09,2.7637365383711114e-122,3.946469472257139e-143,1.157806096907046e-135,HV,-1
762468,0.44,0.0001615202610968331,1.8961536661976062e-06,8.273075916058435e-94,1.431794989757825e-84,9.369350799545515e-96,1.065359541719866e-09,2.9449112249352205e-06,9.784669328557815e-98,6.753592644361314e-92,2.545751991955838e-109,HV,-1
762470,0.84,1.8961536661976062e-06,0.15915169261452353,4.5026812211453965e-76,5.474894405583736e-69,4.5026812211453965e-76,2.9449112249352205e-06,0.5585594327069068,1.0898737981738669e-83,1.5013029860369303e-78,8.158025930448504e-83,HV,-1
768738,0.84,0.15915169261452353,0.8304634168517532,1.5013029860369303e-78,2.7490037202279307e-60,7.325294280377921e-73,0.5585594327069068,0.4916898698540652,4.350203988701025e-81,9.458659034036942e-70,1.8492851139729247e-85,HV,-1
768746,0.64,0.8304634168517532,5.165007853947324e-22,4.4856123000832707e-72,7.325294280377921e-73,1.458416016977075e-57,0.4916898698540652,2.1012127091701578e-29,1.0204802729413189e-77,3.589940980859106e-88,8.171971774555533e-64,HV,-1
775031,0.16,5.165007853947324e-22,4.2915578655425274e-39,1.051485277589484e-112,,1.157806096907046e-135,2.1012127091701578e-29,8.926402876821863e-42,4.558172240456995e-140,,4.02969801747861e-167,HV,-1
768365,1.16,4.2915578655425274e-39,0.9990098806936499,5.327908475744656e-44,1.1528582747036722e-48,,8.926402876821863e-42,0.9998945640423377,5.415950550882715e-53,2.707778156757584e-71,,HV,-1
